Citizenship Status,Age,Education Level,Employment Sector,Marital Status,Number of Dependents,Average Sector Salary (Indonesia),Average Sector Salary (Singapore),Annual Income,Length of Residency in Singapore
Singaporean,46,2,Services,0,0,7000,30000,37164.7322050441,12
Singaporean,54,2,Finance,0,3,15000,70000,74540.48191269906,3
Singaporean,20,1,Services,1,3,7000,30000,27997.7322050441,3
Indonesian,54,1,Finance,1,0,15000,70000,20352.62430780008,0
Singaporean,56,4,Healthcare,0,0,10000,45000,47309.7322050441,8
Singaporean,33,4,Finance,1,1,15000,70000,72206.06351501949,22
Indonesian,22,3,Services,1,2,7000,30000,5933.690340703432,0
Singaporean,20,2,Education,1,0,8000,35000,39442.7322050441,29
Indonesian,24,2,Finance,1,1,15000,70000,26618.126416551127,0
Singaporean,45,3,Education,0,1,8000,35000,51734.7322050441,11
Indonesian,33,4,Healthcare,0,2,10000,45000,15156.264847558528,0
Singaporean,58,4,Technology,1,3,12000,50000,53390.7322050441,5
Singaporean,46,3,Healthcare,1,0,10000,45000,47952.7322050441,14
Indonesian,28,3,Finance,0,2,15000,70000,11172.189797843432,0
Indonesian,34,1,Education,1,0,8000,35000,5355.599416594444,0
Indonesian,34,1,Education,1,1,8000,35000,6676.606056703003,0
Indonesian,45,4,Services,0,1,7000,30000,19880.13569667344,0
Indonesian,61,3,Education,1,3,8000,35000,7375.964802192184,0
Indonesian,32,1,Services,1,1,7000,30000,984.146373020722,0
Indonesian,51,1,Technology,1,1,12000,50000,12969.073763379904,0
Indonesian,58,3,Finance,0,2,15000,70000,17542.77617130308,0
Singaporean,51,1,Services,1,0,7000,30000,35004.7322050441,14
Singaporean,23,1,Technology,1,0,12000,50000,55153.22145464086,26
Indonesian,49,2,Education,1,2,8000,35000,8653.522086272105,0
Singaporean,56,3,Education,1,3,8000,35000,43669.7322050441,4
Singaporean,42,3,Technology,1,0,12000,50000,50924.7322050441,25
Singaporean,58,1,Education,1,1,8000,35000,48729.7322050441,13
Singaporean,64,3,Technology,1,0,12000,50000,55854.859283314116,10
Indonesian,34,1,Services,1,1,7000,30000,10396.39410861468,0
Singaporean,62,2,Services,1,3,7000,30000,30903.7322050441,18
Indonesian,48,3,Technology,0,2,12000,50000,17057.053060384038,0
Singaporean,55,3,Services,0,0,7000,30000,38081.7322050441,8
Singaporean,32,3,Services,1,2,7000,30000,28977.7322050441,7
Singaporean,51,3,Services,0,0,7000,30000,26530.7322050441,8
Indonesian,26,2,Healthcare,1,1,10000,45000,52829.0,0
Singaporean,41,1,Finance,0,2,15000,70000,68308.09185032835,19
Indonesian,47,2,Education,1,0,8000,35000,11013.501702295993,0
Singaporean,21,2,Healthcare,1,1,10000,45000,43370.7322050441,6
Indonesian,61,1,Services,1,2,7000,30000,53160.0,0
Singaporean,64,4,Technology,0,2,12000,50000,49705.02121771954,23
Indonesian,25,2,Services,1,0,7000,30000,5298.497698813847,0
Indonesian,47,4,Finance,1,0,15000,70000,4735.283730114694,0
Singaporean,47,3,Services,0,0,7000,30000,41541.7322050441,25
Indonesian,63,3,Technology,1,1,12000,50000,5885.5133357988525,0
Singaporean,63,2,Finance,1,0,15000,70000,78635.67353509045,1
Singaporean,39,2,Services,0,2,7000,30000,31705.7322050441,15
Singaporean,49,2,Finance,1,2,15000,70000,74983.91747826955,23
Singaporean,30,1,Education,0,0,8000,35000,48060.7322050441,2
Singaporean,47,3,Education,0,0,8000,35000,47223.7322050441,14
Singaporean,44,2,Services,1,3,7000,30000,44756.7322050441,21
Singaporean,58,1,Finance,0,2,15000,70000,61191.48713491203,8
Singaporean,52,3,Technology,1,1,12000,50000,49146.7322050441,8
Singaporean,20,1,Services,1,3,7000,30000,35955.7322050441,19
Singaporean,46,4,Education,1,0,8000,35000,44024.7322050441,7
Singaporean,32,4,Education,1,0,8000,35000,39769.7322050441,19
Indonesian,60,4,Services,1,2,7000,30000,-1255.8062264036591,0
Indonesian,22,2,Finance,1,0,15000,70000,19379.4825851545,0
Singaporean,58,1,Education,1,1,8000,35000,38854.7322050441,3
Singaporean,25,4,Finance,0,2,15000,70000,64907.42149725301,7
Singaporean,27,2,Education,1,0,8000,35000,28436.7322050441,19
Singaporean,46,4,Education,1,2,8000,35000,43813.7322050441,8
Singaporean,28,4,Healthcare,0,0,10000,45000,50552.7322050441,10
Singaporean,56,4,Education,1,0,8000,35000,48801.7322050441,20
Singaporean,52,2,Technology,1,0,12000,50000,54453.7322050441,15
Singaporean,61,2,Services,1,1,7000,30000,37657.7322050441,15
Indonesian,63,4,Services,1,1,7000,30000,12949.343221646866,0
Singaporean,43,2,Finance,1,2,15000,70000,57590.52871318648,1
Indonesian,34,1,Education,0,0,8000,35000,25244.30745686974,0
Singaporean,51,2,Technology,0,0,12000,50000,52672.7322050441,30
Singaporean,51,4,Finance,1,1,15000,70000,74822.8506431142,7
Indonesian,43,3,Healthcare,1,0,10000,45000,13726.68888552283,0
Singaporean,60,2,Finance,0,1,15000,70000,60918.43986906769,4
Indonesian,31,1,Finance,1,0,15000,70000,54991.0,0
Singaporean,58,3,Education,0,2,8000,35000,41155.7322050441,6
Singaporean,21,4,Healthcare,0,0,10000,45000,48758.7322050441,25
Indonesian,22,1,Finance,0,0,15000,70000,17910.40108793136,0
